Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
28540	1331.51	-40.2	0.13239521
28649	1332.79	-39.3	0.129431138
28751	1334.07	-39.5	0.13008982
28843	1335.35	-39.4	0.129760479
28941	1336.63	-39.5	0.13008982
29033	1337.91	-40.6	0.133712575
29149	1339.18	-40.4	0.133053892
29277	1340.45	-40	0.131736527
29399	1342.35	-40.3	0.132724551
29548	1344.9	-40.5	0.133383234
29706	1347.44	-41.2	0.135688623
29840	1349.98	-41.2	0.135688623
29967	1352.5	-41.1	0.135359281
30102	1355.02	-41.4	0.136347305
30233	1357.53	-41.8	0.137664671
30363	1360.04	-40.8	0.134371257
30498	1362.54	-40.8	0.134371257
30619	1365.04	-41	0.13502994
30745	1367.52	-40.5	0.133383234
30876	1369.99	-41.4	0.136347305
31008	1372.45	-41	0.13502994
31140	1374.91	-41.6	0.137005988
31267	1377.36	-41.3	0.136017964
31395	1379.81	-41.2	0.135688623
31521	1382.25	-41.5	0.136676647
31643	1384.68	-41.6	0.137005988
31768	1387.1	-41.1	0.135359281
31888	1389.5	-41.3	0.136017964
32003	1391.9	-41.3	0.136017964
32123	1394.3	-41.8	0.137664671
32245	1396.7	-41.3	0.136017964
32372	1399.08	-41	0.13502994
32506	1401.46	-41.6	0.137005988
32638	1403.83	-40.9	0.134700599
32777	1406.19	-41.2	0.135688623
32913	1408.54	-40.8	0.134371257
33044	1410.88	-40.6	0.133712575
33182	1413.22	-40.2	0.13239521
33319	1415.54	-40.2	0.13239521
33455	1417.86	-39.9	0.131407186
33587	1420.18	-39.9	0.131407186
33721	1422.5	-39.8	0.131077844
33856	1424.81	-38.9	0.128113772
33988	1427.11	-39.5	0.13008982
34120	1429.41	-40.8	0.134371257
34246	1431.7	-40	0.131736527
34377	1433.98	-40	0.131736527
34496	1436.26	-39.9	0.131407186
34591	1438.52	-40.3	0.132724551
34695	1440.78	-40.3	0.132724551
34792	1443.03	-40.3	0.132724551
34884	1445.28	-40.5	0.133383234
34972	1447.52	-40.5	0.133383234
35062	1449.76	-40.8	0.134371257
35147	1452	-40.8	0.134371257
35232	1454.23	-40.7	0.134041916
35324	1456.44	-41.5	0.136676647
35447	1458.64	-40.9	0.134700599
35571	1460.84	-41.1	0.135359281
35706	1463.04	-41.1	0.135359281
