Byrd,Byrd
Depth,d18O
(m),(ä)
1845.34,-38.5
1847.42,-38.7
1849.49,-38.3
1851.54,-38.1
1853.57,-37.8
1855.59,-37.9
1857.61,-37.8
1859.62,-38.5
1861.63,-38.5
1863.62,-38.9
1865.58,-38.5
1867.54,-39.2
1869.54,-38.6
1871.6,-39.2
1873.59,-39.2
1875.5,-39.5
1877.4,-39.5
1879.28,-39.9
1881.14,-39.8
1883,-40
1884.86,-40.2
1886.71,-40
1888.53,-39.9
1890.35,-39.6
1892.15,-39.8
1893.94,-40.1
1895.72,-40.4
1897.48,-41
1899.24,-40.7
1901,-40.4
1902.74,-40.2
1904.48,-40.3
1906.19,-39.9
1907.88,-40.1
1909.57,-39.9
1911.25,-40.2
1912.93,-39.9
1914.61,-40.4
1916.27,-39.9
1917.92,-39.5
1919.56,-40.1
1921.18,-40
1922.8,-39.6
1924.41,-40
1926.01,-39.3
1927.59,-39.5
1929.14,-40.1
1930.68,-40
1932.24,-39.9
1933.8,-39.6
1935.34,-39.3
1936.88,-39.6
1938.4,-39.2
1939.92,-39.7
1941.44,-39.6
1942.94,-39.1
1944.43,-38.1
1945.91,-38.2
1947.37,-38.9
1948.82,-39.1
1950.27,-38.8
1951.71,-38.2
1953.15,-38.1
1954.57,-38.1
1955.99,-37.9
1957.41,-38.1
1958.81,-37.8
1960.21,-38.1
1961.61,-38.7
1962.99,-38.7
1964.35,-39
1965.71,-38.9
1967.07,-39.1
1968.42,-38.9
1969.76,-38.7
1971.1,-38.7
1972.42,-38
1973.62,-38.1
1974.82,-38.7
1976.12,-38.5
1977.42,-39.6
1978.71,-39.8
1979.99,-39.7
1981.25,-40.2
1982.51,-39.8
1983.75,-40
1984.99,-39.8
1986.23,-39.7
1987.46,-40
1989.29,-40.1
1991.7,-39.5
1994.08,-39.2
1996.42,-38.9
1998.85,-39.1
2001.26,-38.8
2003.53,-38.6
2005.8,-38.5
2008.03,-38
2010.21,-37.8
2012.37,-37.7
2014.5,-37.6
2016.61,-38.4
2018.71,-38.1
2020.79,-38.3
2022.83,-38.5
2024.84,-38.5
2026.83,-39.2
2028.8,-39.2
2030.74,-38.6
2032.66,-39.5
2034.56,-39.8
2036.42,-40
2038.25,-40.2
2040.06,-40.5
2041.86,-40.4
2043.64,-40.3
2045.4,-40.6
2047.14,-41.3
2048.76,-41.7
2050.35,-41
2052,-40.4
2053.67,-40
2055.33,-40.6
2056.96,-41.3
2058.58,-41.1
2060.17,-40.6
2061.73,-41.2
2063.27,-41.7
2064.79,-40.7
2066.29,-41.1
2067.77,-41
2069.24,-40.8
2070.69,-41.2
2072.12,-40.3
2073.53,-41.3
2074.93,-41.5
2076.32,-41.4
2077.7,-40.7
2079.06,-40
2080.42,-39.4
2081.77,-39.7
2083.1,-39.3
2084.4,-39.6
2085.7,-39.2
2087.04,-39.7
2088.35,-41.2
2089.58,-40.9
2090.8,-40.9
2092.01,-39.8
2093.24,-39.7
2094.44,-39.3
2095.6,-39
2096.75,-38.2
2097.88,-37.8
2098.98,-37.3
2100.08,-38.3
2101.18,-38.5
2102.26,-39
2103.32,-40
2104.38,-39.9
2105.44,-40
2106.47,-39.9
2107.48,-40
2108.48,-39.6
2109.47,-39.5
2110.44,-39.7
2111.41,-39.5
2112.84,-39.5
2114.25,-39.4
2115.21,-39.3
2116.17,-39
2117.07,-39
2117.95,-38.7
2118.78,-38.8
2119.62,-38.9
2120.5,-38.4
2121.36,-38.4
2122.21,-38
2123.03,-37.9
2123.85,-37.9
2124.67,-38.1
2125.47,-37.7
2126.25,-37.5
2127.03,-37.7
2127.8,-37.2
2128.65,-37.1
2129.58,-37.1
2130.41,-37
2131.14,-36.7
2131.86,-36.3
2132.56,-36.9
2133.26,-37.1
2133.95,-37.2
2134.64,-37.3
2135.32,-37.6
2136,-38.3
2136.66,-38.1
2137.32,-39
2137.96,-40.3
2138.6,-39.9
2139.23,-39.8
2139.85,-39.2
2140.47,-38.8
2141.08,-39
2141.69,-38.7
2142.29,-38.6
