This data file has 3 columns:,,
column 1:,Depth in m below the surface,
column 2:,"Ice age following the WD2014 chronology, in years before 1950 C.E.",
column 3:,"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year",
,,
Depth,Ice age,Accumulation
(m),(years bp),(m ice a-1)
1446.997,6975,0.2444
1448.572,6985,0.2464
1450.06,6995,0.2445
1451.526,7005,0.2435
1453.014,7015,0.239
1454.502,7025,0.2403
1455.968,7035,0.2384
1457.336,7045,0.235
1458.747,7055,0.2313
1460.235,7065,0.2266
1461.614,7075,0.2288
1462.894,7085,0.2223
1464.283,7095,0.224
1465.531,7105,0.2276
1467.041,7115,0.228
1468.364,7125,0.2318
1469.732,7135,0.2253
1471.165,7145,0.2208
1472.424,7155,0.216
1473.627,7165,0.2167
1474.929,7175,0.2205
1476.319,7185,0.2293
1477.752,7195,0.2282
1479.098,7205,0.2248
1480.443,7215,0.2181
1481.625,7225,0.2055
1482.905,7235,0.213
1484.163,7245,0.2194
1485.476,7255,0.2244
1486.898,7265,0.2214
1488.222,7275,0.2178
1489.47,7285,0.2159
1490.695,7295,0.2132
1491.997,7305,0.2214
1493.397,7315,0.2199
1494.677,7325,0.2222
1495.848,7335,0.2171
1497.227,7345,0.2185
1498.572,7355,0.2185
1499.743,7365,0.2147
1501.045,7375,0.2103
1502.292,7385,0.2152
1503.496,7395,0.2096
1504.787,7405,0.2094
1506.001,7415,0.2096
1507.172,7425,0.2114
1508.43,7435,0.2121
1509.688,7445,0.2217
1510.968,7455,0.2199
1512.325,7465,0.2228
1513.561,7475,0.2226
1514.885,7485,0.2137
1516.122,7495,0.2144
1517.358,7505,0.2205
1518.682,7515,0.2247
1520.017,7525,0.2286
1521.319,7535,0.2266
1522.664,7545,0.2201
1523.966,7555,0.2179
1525.17,7565,0.2237
1526.406,7575,0.2255
1527.828,7585,0.2281
1529.24,7595,0.2299
1530.443,7605,0.2195
1531.734,7615,0.214
1532.927,7625,0.2166
1534.152,7635,0.2168
1535.378,7645,0.2245
1536.734,7655,0.2247
1538.058,7665,0.2214
1539.294,7675,0.2153
1540.476,7685,0.2125
1541.68,7695,0.2154
1542.971,7705,0.2147
1544.273,7715,0.223
1545.509,7725,0.2221
1546.855,7735,0.2212
1548.091,7745,0.2194
1549.305,7755,0.2106
1550.553,7765,0.2135
1551.713,7775,0.2235
1552.981,7785,0.2251
1554.349,7795,0.2282
1555.64,7805,0.2207
1556.855,7815,0.2155
1558.091,7825,0.2085
1559.327,7835,0.2097
1560.411,7845,0.2105
1561.68,7855,0.2147
1562.916,7865,0.2232
1564.163,7875,0.2184
1565.454,7885,0.2197
1566.636,7895,0.2204
1567.949,7905,0.2203
1569.163,7915,0.2218
1570.41,7925,0.2192
1571.68,7935,0.223
1572.905,7945,0.2246
1574.174,7955,0.2214
1575.41,7965,0.2194
1576.614,7975,0.2173
1577.839,7985,0.2128
1578.999,7995,0.2221
1580.246,8005,0.215
1581.581,8015,0.2263
1582.763,8025,0.2206
1584.076,8035,0.225
1585.192,8045,0.223
1586.614,8055,0.22
1587.785,8065,0.2157
1588.933,8075,0.2114
1590.093,8085,0.2197
1591.297,8095,0.2262
1592.653,8105,0.2285
1593.923,8115,0.2303
1595.203,8125,0.2249
1596.439,8135,0.2285
1597.675,8145,0.2208
1598.966,8155,0.2257
1600.236,8165,0.2234
1601.45,8175,0.2283
1602.73,8185,0.2288
1604.032,8195,0.2267
1605.224,8205,0.2195
1606.395,8215,0.2197
1607.555,8225,0.2155
1608.879,8235,0.2237
1610.082,8245,0.2288
1611.362,8255,0.2238
1612.588,8265,0.2169
1613.737,8275,0.2131
1614.863,8285,0.2164
1616.056,8295,0.214
1617.292,8305,0.2278
1618.474,8315,0.2294
1619.863,8325,0.2273
1621.045,8335,0.2198
1622.164,8345,0.2074
1623.31,8355,0.2133
1624.48,8365,0.2145
1625.717,8375,0.2124
1626.811,8385,0.206
1627.905,8395,0.2064
1629.065,8405,0.2097
1630.257,8415,0.2145
1631.395,8425,0.2221
1632.643,8435,0.2171
1633.838,8445,0.217
1634.929,8455,0.2154
1636.122,8465,0.2132
1637.325,8475,0.2111
1638.441,8485,0.2103
1639.568,8495,0.2031
1640.651,8505,0.2031
1641.723,8515,0.2016
1642.806,8525,0.2032
1643.955,8535,0.2118
1645.049,8545,0.2163
1646.297,8555,0.2167
1647.402,8565,0.2204
1648.616,8575,0.2189
1649.82,8585,0.2193
1650.98,8595,0.2164
1652.172,8605,0.2155
1653.266,8615,0.2133
1654.418,8625,0.2158
1655.542,8635,0.2148
1656.756,8645,0.21
1657.861,8655,0.2085
1658.879,8665,0.2064
1660.028,8675,0.2106
1661.128,8685,0.2123
1662.303,8695,0.2119
1663.365,8705,0.2115
